city,loc,pop,state,zip
CRANSTON,-71.497646,26575,RI,2919
CRANSTON,-71.465889,37385,RI,2920
CRANSTON,-71.506102,6502,RI,2921
AMHERST,-71.607536,8998,NH,3031
AUBURN,-71.344892,4085,NH,3032
BROOKLINE,-71.666254,2410,NH,3033
CANDIA,-71.304857,3557,NH,3034
CHESTER,-71.244962,2691,NH,3036
DEERFIELD,-71.251264,3124,NH,3037
DERRY,-71.301971,29556,NH,3038
EPPING,-71.076367,6797,NH,3042
FRANCESTOWN,-71.81131,1219,NH,3043
FREMONT,-71.121836,2677,NH,3044
DUNBARTON,-71.56264,9428,NH,3045
GREENFIELD,-71.872755,1422,NH,3047
MASON,-71.784487,3443,NH,3048
HOLLIS,-71.577206,5705,NH,3049
HUDSON,-71.412144,26489,NH,3051
LONDONDERRY,-71.37719,19687,NH,3053
MERRIMACK,-71.51278,21632,NH,3054
MILFORD,-71.660569,11795,NH,3055
MONT VERNON,-71.676243,1812,NH,3057
NASHUA,-71.466684,41438,NH,3060
NASHUA,-71.489282,23927,NH,3062
NASHUA,-71.513156,14891,NH,3063
NEW BOSTON,-71.686402,2701,NH,3070
NEW IPSWICH,-71.870318,4014,NH,3071
PELHAM,-71.304551,6012,NH,3076
RAYMOND,-71.191159,9005,NH,3077
SALEM,-71.21761,25746,NH,3079
LYNDEBOROUGH,-71.774373,1294,NH,3082
TEMPLE,-71.852347,1194,NH,3084
WILTON,-71.754066,3122,NH,3086
WINDHAM,-71.306735,9000,NH,3087
MANCHESTER,-71.463255,2697,NH,3101
MANCHESTER,-71.488433,29308,NH,3102
MANCHESTER,-71.449325,36613,NH,3103
MANCHESTER,-71.448233,29950,NH,3104
HOOKSETT,-71.444446,8668,NH,3106
MANCHESTER,-71.413474,7884,NH,3109
BEDFORD,-71.52127,12468,NH,3110
ANDOVER,-71.782952,1638,NH,3216
ASHLAND,-71.612085,2056,NH,3217
BARNSTEAD,-71.286946,793,NH,3218
BELMONT,-71.488991,2997,NH,3220
BRADFORD,-71.985048,3273,NH,3221
BRISTOL,-71.750664,4288,NH,3222
BEEBE RIVER,-71.636142,2802,NH,3223
CANTERBURY,-71.557008,2085,NH,3224
CENTER BARNSTEAD,-71.24244,2307,NH,3225
CENTER HARBOR,-71.47973,470,NH,3226
CENTER SANDWICH,-71.450614,615,NH,3227
HOPKINTON,-71.696299,6071,NH,3229
DANBURY,-71.869074,1098,NH,3230
EAST ANDOVER,-71.759606,177,NH,3231
EAST HEBRON,-71.767907,47,NH,3232
EPSOM,-71.354576,2931,NH,3234
FRANKLIN,-71.649122,9780,NH,3235
GILMANTON,-71.412063,1308,NH,3237
GRAFTON,-71.963389,890,NH,3240
HEBRON,-71.82696,657,NH,3241
HENNIKER,-71.815921,4151,NH,3242
HILL,-71.729168,778,NH,3243
